id,y
415,7
416,5
417,8
418,1
419,1
420,8
421,5
422,2
423,1
424,8
425,7
426,1
427,1
428,8
429,1
430,1
431,8
432,7
433,1
434,8
435,1
436,1
437,8
438,4
439,9
440,6
441,8
442,8
443,9
444,6
445,3
446,1
447,8
448,8
449,8
450,6
451,2
452,7
453,8
454,3
455,6
456,8
457,8
458,1
459,1
460,6
461,1
462,9
463,2
464,8
465,9
466,1
467,1
468,1
469,3
470,8
471,8
472,1
473,4
474,8
475,1
476,6
477,1
478,1
479,6
480,8
481,9
482,1
483,1
484,1
485,8
486,7
487,4
488,1
489,6
490,1
491,2
492,8
493,1
494,1
495,4
496,8
497,4
498,1
499,1
500,1
501,1
502,8
503,2
504,9
505,1
506,2
507,9
508,2
509,4
510,5
511,8
512,4
513,9
514,1
515,6
516,8
517,1
518,1
519,9
520,4
521,6
522,1
523,4
524,1
525,8
526,4
527,1
528,8
529,4
530,8
531,9
532,8
533,4
534,6
535,8
536,4
537,8
538,1
539,8
540,8
541,1
542,1
543,7
544,6
545,8
546,6
547,1
548,4
549,6
550,9
551,7
552,8
553,5
554,1
555,6
556,1
557,8
558,1
559,9
560,8
561,1
562,9
563,7
564,4
565,5
566,1
567,1
568,1
569,2
570,6
571,8
572,9
573,1
574,5
575,7
576,8
577,4
578,6
579,8
580,4
581,1
582,8
583,6
584,1
585,1
586,1
587,1
588,1
589,4
590,7
591,1
592,3
593,4
594,1
595,4
596,6
597,8
598,7
599,9
600,8
601,1
602,8
603,6
604,8
605,1
606,7
607,1
608,8
609,4
610,1
611,8
612,6
613,1
614,3
615,1
616,1
617,8
618,6
619,1
620,8
621,9
622,6
623,8
624,8
625,9
626,2
627,6
628,9
629,9
630,1
631,2
632,6
633,9
634,5
635,6
636,2
637,4
638,8
639,1
640,4
641,8
642,6
643,6
644,6
645,8
646,1
647,2
648,7
649,5
650,1
651,6
652,8
653,6
654,1
655,1
656,4
657,6
658,6
659,1
660,9
661,8
662,6
663,1
664,8
665,1
666,6
667,6
668,9
669,8
670,6
671,8
672,4
673,1
674,2
675,7
676,8
677,5
678,1
679,6
680,8
681,6
682,8
683,8
684,1
685,7
686,8
687,4
688,6
689,1
690,1
691,1
692,1
693,6
694,6
695,2
696,6
697,8
698,2
699,8
700,1
701,8
702,1
703,5
704,8
705,7
706,2
707,1
708,6
709,6
710,1
711,9
712,7
713,6
714,4
715,1
716,8
717,1
718,6
719,1
720,7
721,3
722,7
723,8
724,8
725,8
726,8
727,1
728,2
729,8
730,6
731,2
732,6
733,4
734,1
735,8
736,1
737,7
738,8
739,1
740,8
741,1
742,6
743,6
744,4
745,1
746,8
747,3
748,8
749,1
750,5
751,7
752,7
753,2
754,8
755,4
756,1
757,8
758,8
759,4
760,6
761,1
762,1
763,7
764,6
765,8
766,1
767,8
768,1
769,4
770,8
771,8
772,1
773,4
774,5
775,6
776,7
777,1
778,8
779,4
780,2
781,6
782,6
783,2
784,8
785,9
786,6
787,2
788,8
789,9
790,1
791,1
792,8
793,6
794,7
795,1
796,1
797,1
798,4
799,9
800,8
801,1
802,8
803,8
804,9
805,6
806,1
807,8
808,1
809,9
810,8
811,1
812,1
813,4
814,5
815,1
816,6
817,6
818,4
819,1
820,1
821,1
822,1
823,8
824,8
825,8
826,5
827,4
828,4
829,6
830,1
831,4
832,1
833,1
834,8
835,7
836,8
837,6
838,9
839,2
840,3
841,8
842,1
843,6
844,1
845,8
846,5
847,9
848,8
849,9
850,6
851,8
852,6
853,1
854,9
855,1
856,6
857,1
858,6
859,8
860,4
861,1
862,7
863,6
864,6
865,1
866,6
867,1
868,1
869,6
870,1
871,8
872,6
873,8
874,6
875,6
876,6
877,6
878,1
879,1
880,4
881,6
882,1
883,7
884,1
885,1
886,7
887,6
888,8
889,1
890,9
891,6
892,1
893,4
894,1
895,3
896,4
897,1
898,6
899,1
900,4
901,6
902,1
903,9
904,4
905,6
906,1
907,6
908,1
909,7
910,8
911,8
912,9
913,1
914,6
915,1
916,1
917,8
918,8
919,1
920,8
921,1
922,6
923,4
924,1
925,8
926,7
927,7
928,6
929,3
930,2
931,5
932,1
933,6
934,1
935,9
936,2
937,1
938,8
939,4
940,5
941,4
942,4
943,6
944,8
945,1
946,9
947,8
948,7
949,6
950,1
951,1
952,1
953,2
954,8
955,8
956,5
957,8
958,8
959,6
960,1
961,8
962,6
963,9
964,4
965,1
966,8
967,1
968,1
969,1
970,9
971,4
972,9
973,6
974,8
975,9
976,1
977,1
978,5
979,3
980,8
981,8
982,1
983,1
984,8
985,1
986,8
987,9
988,1
989,8
990,4
991,6
992,1
993,1
994,8
995,1
996,7
997,8
998,6
999,8
1000,2
1001,1
1002,4
1003,6
1004,8
1005,6
1006,1
1007,4
1008,5
1009,8
1010,8
1011,8
1012,4
1013,4
1014,9
1015,4
1016,6
1017,6
1018,1
1019,8
1020,4
1021,8
1022,8
1023,1
1024,8
1025,4
1026,1
1027,4
1028,6
1029,1
1030,7
1031,6
1032,6
1033,1
1034,8
1035,6
1036,7
1037,1
1038,1
1039,1
1040,6
1041,6
1042,1
1043,8
1044,1
1045,1
1046,6
1047,6
1048,1
1049,1
1050,9
1051,5
1052,8
1053,6
1054,5
1055,9
1056,1
1057,9
1058,8
1059,8
1060,6
1061,6
1062,1
1063,2
1064,1
1065,6
1066,2
1067,6
1068,1
1069,9
1070,4
1071,6
1072,8
1073,3
1074,2
1075,8
1076,8
1077,8
1078,8
1079,1
1080,7
1081,6
1082,2
1083,8
1084,9
1085,6
1086,8
1087,8
1088,7
1089,1
1090,8
1091,4
1092,1
1093,1
1094,8
1095,7
1096,6
1097,6
1098,8
1099,6
1100,8
1101,1
1102,1
1103,2
1104,7
1105,9
1106,8
1107,4
1108,9
1109,1
1110,2
1111,9
1112,8
1113,8
1114,4
1115,4
1116,9
1117,6
1118,2
1119,1
1120,8
1121,4
1122,1
1123,9
1124,1
1125,1
1126,8
1127,1
1128,6
1129,1
1130,9
1131,2
1132,4
1133,2
1134,1
1135,1
1136,1
1137,2
1138,6
1139,8
1140,1
1141,1
1142,8
1143,6
1144,8
1145,7
1146,4
1147,8
1148,1
1149,7
1150,1
1151,6
1152,6
1153,8
1154,6
1155,2
1156,8
1157,6
1158,6
1159,8
1160,1
1161,6
1162,8
1163,7
1164,1
1165,4
1166,5
1167,8
1168,1
1169,1
1170,1
1171,8
1172,5
1173,8
1174,6
1175,1
1176,1
1177,9
1178,1
1179,6
1180,6
1181,6
1182,8
1183,1
1184,6
1185,1
1186,4
1187,9
1188,8
1189,6
1190,7
1191,4
1192,5
1193,7
1194,6
1195,1
1196,1
1197,1
1198,6
1199,1
1200,1
1201,7
1202,1
1203,1
1204,4
1205,9
1206,7
1207,1
1208,3
1209,1
1210,6
1211,8
1212,8
1213,8
1214,8
1215,4
1216,1
1217,1
1218,8
1219,8
1220,6
1221,8
1222,6
1223,4
1224,1
1225,2
1226,8
1227,1
1228,8
1229,1
1230,1
1231,1
1232,8
1233,8
1234,9
1235,8
1236,5
1237,9
1238,1
1239,8
1240,8
1241,3
1242,1
1243,1
1244,1
1245,8
1246,8
1247,7
1248,1
1249,8
1250,4
1251,1
1252,1
1253,6
1254,8
1255,1
1256,7
1257,4
1258,8
1259,4
1260,8
1261,8
1262,6
1263,1
1264,6
1265,7
1266,8
1267,1
1268,7
1269,7
1270,8
1271,8
1272,1
1273,1
1274,1
1275,1
1276,1
1277,5
1278,8
1279,8
1280,2
1281,4
1282,1
1283,4
1284,7
1285,1
1286,8
1287,4
1288,9
1289,1
1290,1
1291,8
1292,1
1293,1
1294,7
1295,6
1296,1
1297,1
1298,1
1299,9
1300,1
1301,1
1302,8
1303,6
1304,1
1305,1
1306,2
1307,6
1308,1
1309,4
1310,2
1311,1
1312,6
1313,8
1314,7
1315,1
1316,6
1317,6
1318,8
1319,8
1320,6
1321,2
1322,9
1323,5
1324,4
1325,1
1326,6
1327,1
1328,6
1329,4
1330,8
1331,1
1332,1
1333,6
1334,4
1335,6
1336,1
1337,8
1338,8
1339,2
1340,1
1341,8
1342,8
1343,4
1344,3
1345,8
1346,8
1347,8
1348,7
1349,2
1350,7
1351,7
1352,2
1353,6
1354,9
1355,1
1356,6
1357,1
1358,1
1359,5
1360,1
1361,8
1362,6
1363,1
1364,1
1365,4
1366,1
1367,8
1368,4
1369,1
1370,5
1371,1
1372,1
1373,2
1374,5
1375,6
1376,1
1377,2
1378,8
1379,6
1380,6
1381,8
1382,9
1383,6
1384,6
1385,8
1386,1
1387,1
1388,9
1389,4
1390,1
1391,8
1392,6
1393,1
1394,8
1395,1
1396,8
1397,8
1398,6
1399,1
1400,8
1401,8
1402,6
1403,2
1404,6
1405,1
1406,6
1407,8
1408,1
1409,2
1410,3
1411,1
1412,6
1413,4
1414,2
1415,6
1416,9
1417,7
1418,4
1419,8
1420,1
1421,7
1422,1
1423,8
1424,8
1425,8
1426,1
1427,1
1428,8
1429,6
1430,5
1431,1
1432,1
1433,9
1434,7
1435,1
1436,6
1437,1
1438,8
1439,2
1440,6
1441,1
1442,6
1443,1
1444,6
1445,9
1446,2
1447,4
1448,6
1449,8
1450,8
1451,6
1452,8
1453,6
1454,5
1455,8
1456,8
1457,5
1458,6
1459,2
1460,8
1461,2
1462,7
1463,1
1464,3
1465,8
1466,7
1467,4
1468,8
1469,1
1470,1
1471,1
1472,1
1473,1
1474,4
1475,1
1476,2
1477,1
1478,7
1479,7
1480,1
1481,1
1482,7
1483,1
1484,3
1485,1
1486,4
1487,4
1488,4
1489,6
1490,8
1491,4
1492,8
1493,4
1494,8
1495,8
1496,1
1497,1
1498,6
1499,6
1500,5
1501,7
1502,8
1503,8
1504,7
1505,7
1506,3
1507,2
1508,8
1509,4
1510,1
1511,4
1512,8
1513,8
1514,9
1515,1
1516,1
1517,6
1518,1
1519,2
1520,8
1521,1
1522,2
1523,4
1524,8
1525,1
1526,6
1527,7
1528,6
1529,1
1530,8
1531,8
1532,2
1533,7
1534,8
1535,1
1536,8
1537,1
1538,3
1539,9
1540,7
1541,8
1542,3
1543,6
1544,7
1545,2
1546,1
1547,9
1548,1
1549,4
1550,2
1551,7
1552,6
1553,8
1554,4
1555,8
1556,6
1557,5
1558,7
1559,8
1560,8
1561,6
1562,6
1563,4
1564,5
1565,8
1566,7
1567,1
1568,1
1569,1
1570,6
1571,1
1572,7
1573,6
1574,1
1575,2
1576,4
1577,1
1578,1
1579,4
1580,6
1581,6
1582,1
1583,1
1584,6
1585,1
1586,1
1587,5
1588,1
1589,8
1590,8
1591,8
1592,9
1593,9
1594,7
1595,6
1596,1
1597,1
1598,7
1599,1
1600,1
1601,6
1602,1
1603,4
1604,7
1605,1
1606,1
1607,8
1608,1
1609,8
1610,6
1611,9
1612,8
1613,8
1614,8
1615,1
1616,4
1617,6
1618,8
1619,1
1620,6
1621,1
1622,6
1623,1
1624,1
1625,1
1626,8
1627,1
1628,1
1629,1
1630,1
1631,8
1632,1
1633,8
1634,6
1635,2
1636,8
1637,1
1638,1
1639,6
1640,9
1641,3
1642,8
1643,7
1644,5
1645,6
1646,1
1647,1
1648,2
1649,1
1650,1
1651,1
1652,4
1653,1
1654,8
1655,8
1656,8
1657,1
1658,1
1659,8
1660,8
1661,9
1662,9
1663,1
1664,6
1665,7
1666,8
1667,2
1668,8
1669,1
1670,1
1671,1
1672,1
1673,5
1674,1
1675,9
1676,1
1677,4
1678,1
1679,1
1680,4
1681,1
1682,4
1683,1
1684,1
1685,1
1686,8
1687,2
1688,8
1689,6
1690,4
1691,1
1692,9
1693,5
1694,6
1695,1
1696,7
1697,8
1698,8
1699,8
1700,7
1701,1
1702,2
1703,4
1704,1
1705,7
1706,4
1707,4
1708,6
1709,3
1710,3
1711,6
1712,6
1713,1
1714,6
1715,8
1716,9
1717,8
1718,8
1719,4
1720,1
1721,1
1722,2
1723,2
1724,1
1725,8
1726,4
1727,1
1728,9
1729,1
1730,9
1731,9
1732,1
1733,1
1734,1
1735,8
1736,1
1737,1
1738,2
1739,2
1740,8
1741,8
1742,7
1743,1
1744,1
1745,1
1746,4
1747,1
1748,1
1749,4
1750,6
1751,1
1752,8
1753,1
1754,4
1755,9
1756,9
1757,1
1758,8
1759,5
1760,3
1761,2
1762,2
1763,6
1764,6
1765,5
1766,8
1767,5
1768,6
1769,6
1770,4
1771,1
1772,5
1773,5
1774,6
1775,2
1776,6
1777,4
1778,6
1779,4
1780,8
1781,1
1782,1
1783,6
1784,7
1785,6
1786,1
1787,8
1788,6
1789,6
1790,8
1791,8
1792,4
1793,1
1794,3
1795,1
1796,8
1797,8
1798,2
